Question,ChatGPT,Gemini,Google,Bing,Wikipedia,World Book
How much does the most current version of a Windows laptop cost?,"There isn't one fixed price for a ""most current"" Windows laptop, since it varies by brand, specs, and model, but new Windows laptops typically range from about $300 to over $2,500.","The cost of a current Windows laptop varies widely, ranging from approximately $200 for basic budget models to over $4,000 for high-end gaming or professional workstations. Most standard, reliable mid-range options cost between $500 and $1,000.","A Microsoft page for browsing and shopping Windows laptops, highlighting different models, features, and buying options.","A guide to the best Windows laptops, highlighting top picks for different needs like performance, portability, battery life, and budget.","Windows 11 is Microsoft's modern desktop operating system, designed to refresh the Windows experience with a new interface, improved multitasking, gaming features, and stronger security.",N/A
Explain how to create a Gmail account.,"Go to the Gmail sign-up page, click **Create account**, and fill in your name, desired email address, password, phone number, and recovery details. Then verify your phone number if prompted, review Google's terms, and finish setup.","To create a Gmail account, visit the Google Account sign-up page, click ""Create account,"" and enter your personal details, preferred username, and password. Follow the remaining on-screen prompts to verify your information and complete the setup.","How to use Gmail search operators and advanced search filters to find emails by sender, subject, date, attachments, labels, and other criteria.","Gmail's ""Send mail as"" feature lets you send email from another address you own or from a custom domain by adding and verifying that address in Gmail.","The page covers Gmail's development from its 2004 launch by Google through major feature additions, product changes, and controversies, showing how it grew into a leading email service.","Companies called Internet service providers (ISPs) generally offer their customers e-mail addresses, along with Internet connections. Some other companies offer free Web-based e-mail addresses supported by advertising."
Explain how anodization reinforces a metal.,"Anodization reinforces a metal by forming a hard, dense oxide layer on its surface, which increases wear resistance and corrosion resistance. The oxide can also improve surface hardness and protect the underlying metal from further damage.","Anodization reinforces a metal by using an electrochemical process to thicken its natural surface oxide layer. This creates a much harder, durable barrier that significantly increases the metal's resistance to wear, scratching, and corrosion.","Anodizing is an electrochemical process that thickens and strengthens the natural oxide layer on metals like aluminum to improve corrosion resistance, wear resistance, and appearance.","A complete guide to anodizing, explaining what it is, how the process works, its benefits, and common applications for improving aluminum's durability, corrosion resistance, and appearance.","To make something clear or understandable by describing it, giving reasons, or showing how it works.","Anodizing is a process, used to thicken the natural coatings on metal surfaces, called oxides...Anodizing serves several uses. For example, it forms a hard coating on the metal that resists corrosion."
Explain machine learning without advanced math.,Machine learning is a way for computers to learn patterns from examples instead of being explicitly programmed for every rule. It helps them make predictions or decisions by finding what's common in past data.,"Machine learning is a field of artificial intelligence where computers learn to make decisions or predictions by identifying patterns in data instead of following strict, pre-written rules. Through this process, the system automatically improves its accuracy over time as it is exposed to more information.","Discussion about whether it's possible to start learning machine learning without first studying advanced math or programming, and what foundational skills are actually needed to begin.","Explains machine learning models through simple stories and intuitive analogies, focusing on how they work conceptually without heavy math.",Machine learning is a field of artificial intelligence focused on building systems that learn from data to improve performance on tasks without being explicitly programmed.,N/A
Explain how the English language evolved.,"English evolved from a Germanic language brought to Britain by Anglo-Saxon settlers, then was shaped by Viking contact, the Norman French conquest, and later major changes in pronunciation, grammar, and vocabulary over centuries. Its modern form also reflects borrowing from Latin, Greek, and many other languages through trade, colonization, and global influence.","The English language evolved from West Germanic dialects brought to Britain in the fifth century, which were heavily influenced by Viking and Norman French invasions to create Middle English. It transitioned into Modern English through major pronunciation shifts and expanded globally through British colonization, international trade, and technological advancement.","The history of English traces how the language evolved from Old English through Middle and Early Modern English into the modern language, shaped by Germanic roots, Norse and Norman French influence, and major sound, grammar, and vocabulary changes.","A concise overview of the English language, covering its origins, history, structure, global spread, dialects, and cultural influence.","The history of English traces how the language evolved from Old English, influenced by Germanic roots, Norse, Norman French, Latin, and later global contact, into the modern language spoken today.","The earliest source of the English language was a prehistoric language that modern scholars call Proto-Indo-European (PIE). ... One group of people who spoke PIE migrated west and divided into groups who spoke languages that were the ancestors of the Germanic, Greek, and Latin tongues. The Germanic languages developed into English."
Explain what supply and demand mean.,"Supply is how much of something sellers are willing to provide, and demand is how much of it buyers want to purchase. Prices usually rise when demand is higher than supply, and fall when supply is higher than demand.","Supply is the total quantity of a good or service that producers are willing and able to sell, while demand is the quantity that consumers are willing and able to purchase. Together, these two market forces interact to determine the price and availability of goods and services.","The law of supply and demand explains how prices are set by the balance between how much of something buyers want and how much sellers provide: higher demand with limited supply pushes prices up, while abundant supply with weak demand pushes prices down.","A basic economic model explaining how prices and quantities are determined by the interaction of buyers and sellers, where demand rises as price falls and supply rises as price rises.","Explains how prices and quantities in markets are determined by the balance between supply and demand, and how changes in either side affect market outcomes.","The supply of a product is the amount that businesses are willing and able to offer for sale at alternative prices. Generally, the higher the price is, the greater the amount supplied will be. Similarly, the demand for a product is the amount of it that users can and would like to buy at alternative prices."
Explain the process of a court case in the US.,"A U.S. court case usually starts with one side filing a complaint or indictment, followed by the other side responding, then evidence gathering and pretrial motions. If it isn't settled, the case goes to trial, where a judge or jury decides the outcome, and then either side may appeal to a higher court.","A U.S. court case begins with the filing of legal pleadings, followed by the discovery phase where both sides exchange evidence and argue pre-trial motions. It then proceeds to a trial where a judge or jury issues a verdict, which can ultimately be appealed to a higher court.","An overview of the federal criminal process, from investigation and charging through court proceedings, sentencing, and appeals.","The judicial process is the court system's method for resolving legal disputes by following established procedures, applying the law, and allowing evidence and arguments from both sides before a judge or jury makes a decision.","The Supreme Court of the United States is the highest court in the federal judiciary, with final authority over constitutional interpretation and federal law.",District courts are trial courts with general federal jurisdiction. There are 94 district courts in the United States and its possessions. Each state has at least 1. Most federal cases begin in a district court. A court of appeals can change a ruling if it decides the lower court incorrectly applied the law to the case.
Compare speed and velocity.,"Speed is how fast something moves, while velocity is speed in a specific direction. Speed is a scalar; velocity is a vector.","Speed is a scalar quantity that measures how fast an object is moving, whereas velocity is a vector quantity that represents both the speed and the specific direction of that motion.","It explains the difference between speed and velocity: speed is how fast something moves, while velocity includes both speed and direction.","The main idea is that speed measures how fast something moves, while velocity measures how fast it moves in a specific direction. Speed is a scalar and velocity is a vector, so direction is the key difference.","A reference chart of speeds across many scales, from walking and vehicles to aircraft, planets, and light, organized by orders of magnitude.","Velocity is the rate at which a body moves through space in a given direction. Velocity is expressed in distance and time, such as miles per hour or meters per second... speed, which measures how far an object travels in a certain length of time."
Compare SpaceX and Blue Origin.,"SpaceX is generally more advanced in launch cadence, reusable rockets, satellite internet, and human spaceflight, with a proven track record across many missions. Blue Origin is more methodical and less operationally mature, focusing on long-term infrastructure, suborbital tourism, and developing its orbital systems and engines.","SpaceX prioritizes rapid, iterative development and has established a highly active, dominant orbital launch capability. In contrast, Blue Origin utilizes a slower, more methodical approach, transitioning from suborbital tourism to the development of orbital and lunar systems.","A discussion asking whether SpaceX is actually better than Blue Origin and, if so, why.","A comparison of SpaceX and Blue Origin, focusing on how the two space companies differ in goals, technology, achievements, and overall progress in the commercial space race.","A race among billionaires to fund, build, and fly private space ventures, especially spacecraft and launch systems, driving rapid competition in commercial space travel and tourism.",N/A
Compare homonyms to heteronyms.,"Homonyms are words that are spelled or pronounced the same but have different meanings, while heteronyms are words that are spelled the same but have different pronunciations and meanings.","Homonyms are words that share the same spelling and pronunciation but have different meanings, whereas heteronyms share the same spelling but have different pronunciations and meanings.","A concise guide to confusing word pairs and groups, explaining the differences between homonyms, homophones, homographs, and heteronyms in everyday English.","Explains the difference between heteronyms and homonyms, focusing on how words can share spelling or pronunciation but differ in meaning and sometimes in pronunciation.",Words that are spelled the same but have different pronunciations and meanings depending on context.,"Many spelling demons are homophones, or words that sound alike but have different meanings."
Compare Roman numerals and Arabic numerals.,"Roman numerals use letters like I, V, and X to represent numbers, while Arabic numerals use digits 0-9 and a place-value system. Arabic numerals are more efficient for arithmetic and counting, so they are used much more widely today.","Roman numerals use an additive and subtractive system of letters without a zero, whereas Arabic numerals employ a positional, base-10 system of digits that includes zero. This positional structure makes Arabic numerals vastly more efficient for performing mathematical calculations.","A comparison of two numbering systems: Arabic numerals use digits 0-9 and place value, while Roman numerals use letters like I, V, and X without a zero or true positional notation.","A comparison of Roman numerals and Arabic numbers, focusing on how each number system works, their differences, and when each is used.","The Hindu-Arabic numeral system is the decimal place-value number system using ten digits, including zero, that is used worldwide for writing and calculating numbers.","Roman numerals express numbers using letters, such as M (1000), C (100), X (10), V (5), and I (1). This system does not make use of place value. Instead, the individual values are often added together. The decimal system is the most commonly used numeral system. It uses 10 numerals, called digits."
Compare primary and secondary sources.,"Primary sources are original, firsthand records or evidence created at the time of an event, while secondary sources analyze, interpret, or summarize primary sources after the fact.","Primary sources provide direct, firsthand evidence or original records created during the time of an event, whereas secondary sources analyze, interpret, and synthesize those primary materials after the fact.","Explains the difference between primary and secondary sources in research: primary sources provide original, firsthand evidence, while secondary sources interpret, analyze, or summarize that evidence.","Explains the difference between primary and secondary sources, how to identify each, and when to use them in research.","A primary source is an original, firsthand account or direct evidence from the time of an event, person, or topic, used as raw material for research and analysis.",N/A
Compare the terminal window to the console,"A terminal window is the user-facing application where you type commands, while a console is the underlying text-based interface or system for interacting with the computer. In practice, people often use ""console"" more broadly, but ""terminal"" usually refers to the actual program/window.","Historically, a console is the physical hardware or direct system-level interface used to interact with a computer, whereas a terminal window is a software application within a graphical user interface that emulates that hardware interface.","Explains the difference between a terminal, console, shell, and command line, clarifying how each relates to text-based computer interaction and command execution.","It explains the differences between terminal, command line, shell, and console, clarifying that these terms are often used interchangeably but refer to distinct parts of the command-line interface setup.","A command-line interface in Windows for running text-based programs and commands, providing input/output through console windows.","[The book refers to ""console"" as ""video game console""]"
Find a trusted source explaining the benefits of being vegan.,"A trusted source is the Academy of Nutrition and Dietetics, which states that appropriately planned vegan diets can be healthful and may offer benefits such as lower risk of heart disease, high blood pressure, type 2 diabetes, and some cancers: https://pubmed.ncbi.nlm.nih.gov/27886704/","According to the Academy of Nutrition and Dietetics, well-planned vegan diets are nutritionally adequate and provide significant health benefits in the prevention and treatment of various chronic diseases.","A vegan diet excludes all animal products, so it needs careful planning to get enough protein, iron, calcium, vitamin B12, iodine, and omega-3s from fortified foods and varied plant sources.","Going vegan is presented as a way to reduce harm to animals, lower environmental impact, and support personal health.","Xinjiang is an autonomous region in northwestern China, known for its diverse ethnic groups, strategic location on the Silk Road, vast deserts and mountains, and ongoing political, cultural, and human rights controversies.","...Vegetarians generally consume less saturated fat and cholesterol...Studies have shown that vegetarians [original word crossed out], in many parts of the world, often have less risk of developing certain diseases, such as heart disease and high blood pressure. Some studies suggest that a vegetarian diet can help people live longer."
Find a source about the 1962 word fair.,"A useful source is the **Fair Word Book Fair** records or local newspaper coverage from **1962**, which document the event and its activities. If you mean a specific ""Word Fair"" event, tell me the location or organizer and I can point you to a more exact source.","Detailed historical records, photographs, and official documents regarding the 1962 Seattle World's Fair can be accessed through the Seattle Public Library's online Century 21 Exposition digital collection.","A digital archive of Seattle's 1962 Century 21 World's Fair, preserving photos, documents, and historical materials that highlight the fair's role in shaping the city's identity and vision of the future.","The Century 21 Exposition was the 1962 Seattle World's Fair, created to showcase science, technology, and space-age optimism, and it helped shape Seattle's modern identity with landmarks like the Space Needle and monorail.","Century 21 Exposition was the 1962 Seattle World's Fair, created to showcase space-age innovation, science, and cultural exhibits, and it left lasting landmarks like the Space Needle and Seattle Center.",The Space Needle was built for the Century 21 World's Fair in Seattle in 1962... The Century 21 Fair emphasized exhibits about the dawn of the Space Age.
Find a primary source about the Boston Massacre.,"A strong primary source is **Paul Revere's engraving, ""The Bloody Massacre perpetrated in King-Street Boston"" (1770)**, a contemporary image made soon after the event.","A major primary source for the Boston Massacre is Captain Thomas Preston's official account of the incident, written while in custody on March 13, 1770.","A lesson plan on the Boston Massacre that helps students examine the event's causes, the tensions between colonists and British soldiers, and its role in fueling revolutionary sentiment.","Primary sources on the Boston Massacre show how firsthand accounts, engravings, and testimony shaped public understanding of the 1770 घटना and fueled colonial outrage against British troops.",The Boston Massacre was a deadly 1770 confrontation in Boston between British soldiers and American colonists that fueled anger against British rule and helped drive the American Revolution.,"[There was an image drawn by Paul Revere, although he was not a witness. The article described the Boston Massacre in great detail, however, lacked a primary source.]"
I need a tertiary source about Microsoft's progress in the tech industry.,"A good tertiary source would be a reputable encyclopedia or industry overview article, such as Microsoft's entry in Britannica or a broad survey in a reference database that summarizes its role and progress in the tech industry.","The *Encyclopaedia Britannica* entry on Microsoft provides a comprehensive tertiary overview of the company's historical development and industry progress. Alternatively, the Wikipedia article on Microsoft compiles numerous secondary sources to track their technological and financial growth.","A letter of the Latin alphabet, ""I"" is the ninth letter in the modern English alphabet and is used in many writing systems and symbols.","Microsoft's 2025 annual report focuses on the company's financial performance, business strategy, and growth across cloud, AI, and enterprise software, along with its risks, governance, and sustainability efforts.","Microsoft Azure is Microsoft's cloud computing platform for building, deploying, and managing applications and services through global data centers. It provides infrastructure, platforms, and tools for computing, storage, networking, databases, AI, and more.","In 1980, International Business Machines Corporation (IBM) chose Microsoft to develop the operating system for its first personal computer, the PC... Lawsuits against the company have charged that it used unfair practices to gain advantages over its competitors."
Find a primary source describing Columbus' arival in the Americas.,"A primary source is Christopher Columbus's **letter to Luis de Santángel (1493)**, which describes his arrival in the Americas; you can find it in translation in many source readers and archives.","The primary source describing Christopher Columbus's arrival in the Americas is his personal logbook, known today as *The Journal of Christopher Columbus*, which was transcribed and summarized by Bartolomé de las Casas.","Christopher Columbus was an Italian explorer who crossed the Atlantic in 1492, leading to European awareness and colonization of the Americas.","Christopher Columbus's 1493 letter describes his first voyage to the Americas, reporting his discoveries, encounters with Indigenous peoples, and the lands he claimed for Spain.","Christopher Columbus was an Italian explorer who sailed across the Atlantic in 1492 under the Spanish crown, reaching the Americas and opening the way for European colonization.","[There's a letter, only the image is portrayed, of Colombus' letter to Spain in 1493]"
Find a museum source that elaborates on the great pyramids,"A good museum source is the **British Museum**'s page on **Ancient Egypt**, which explains the Great Pyramids in the context of Egyptian religion, kingship, and burial practices.","The Metropolitan Museum of Art offers a comprehensive digital resource on the Great Pyramids of Giza through its Heilbrunn Timeline of Art History. This online exhibition details the architectural evolution, historical context, and archaeological significance of these ancient monuments.","An overview of the Giza pyramids, explaining how and why they were built, the pharaohs they were built for, and what they reveal about ancient Egyptian engineering, religion, and power.","A Harvard resource for studying ancient Egypt's Giza Plateau, especially the Giza mastabas, with searchable excavation records, object data, maps, images, and scholarly documentation.","The Great Pyramid of Giza is the largest and oldest of the three pyramids on the Giza Plateau, built as a tomb for Pharaoh Khufu around 2600 BCE and renowned as one of the Seven Wonders of the Ancient World.",A study of the Great Pyramid shows how those gigantic structures were built. The ancient Egyptians had no machinery or iron tools. They cut big limestone blocks with copper chisels and saws.
What happened to the fifth plane during 9/11?,"There was no fifth plane in the 9/11 attacks; the widely documented attacks involved four hijacked airplanes. Sometimes people refer to rumors or false claims about a ""fifth plane,"" but no such aircraft was part of the attacks.","There was no fifth hijacked plane during the 9/11 attacks, as only four aircraft were actually taken over by terrorists. United Flight 23 is widely suspected of being a planned fifth target, but it was grounded at the airport before it could take off.","A YouTube video page, but I can't access the video content directly here to summarize it.",The article raises questions about whether there may have been a fifth plane connected to 9/11 and suggests new scrutiny of the official account.,"The September 11 attacks were a series of coordinated terrorist hijackings in 2001 that killed nearly 3,000 people and led to major changes in U.S. security and foreign policy.","[Describes 4 planes, but doesn't say anything like ""the first plane"", or ""the fifth plane"""
How was Gaul able to conquer Rome?,"Gaul did not conquer Rome; the Gauls sacked Rome in 390 BCE, but they did not hold or conquer it. Rome later recovered, expanded, and eventually conquered Gaul centuries afterward.","The Gauls successfully conquered and sacked Rome in approximately 390 BC by routing an unprepared Roman army at the Battle of the Allia, leaving the city undefended. Their success was driven by tactical surprise, aggressive combat tactics, and the lack of fortified Roman city walls at the time.","A series of military campaigns led by Julius Caesar conquered Gaul for Rome, expanded Roman power, and set the stage for Caesar's rise.","Rome conquered Gaul through a mix of military campaigns, strategic alliances, and exploiting internal divisions among the Gallic tribes, ultimately turning the region into a Roman province.","Caesar's military campaigns in Gaul from 58 to 50 BCE, covering the Roman conquest of the region, major battles, and the events that expanded his power and helped trigger the end of the Roman Republic.","Julius Caesar conquered the rest of Transalpine Gaul in the 50's B.C. The peoples of Gaul gradually adopted Roman customs and laws, as well as Latin, the Roman language."
Why do negative charges attract to other negative charges?,They don't negative charges repel each other. Only opposite charges attract because of the electric force between them.,"Negative charges do not attract each other; instead, they repel one another. According to the fundamental laws of electromagnetism, like charges exert a repulsive force on each other, while opposite charges attract.","A discussion of why opposite electric charges attract, focusing on the basic physics of electrostatic forces and how charge interactions arise.","Explains the basics of electric charge, how charge is conserved, and how charge can be transferred between objects.","Electric charge is a fundamental property of matter that causes electromagnetic forces, with positive and negative charges attracting or repelling each other.","Magnets have two regions called poles. The two poles are called the north pole and the south pole. A basic property of magnets is that poles that are alike, such as two north poles, repel each other. Unlike poles, such as a north pole and a south pole, attract each other."
How does looking directly at the sun benefit your health?,"It doesn't benefit your health and can seriously damage your eyes, potentially causing permanent vision loss. If you want a safe sunlight benefit, get brief outdoor light exposure without staring at the sun.","Looking directly at the sun provides no health benefits and can cause permanent eye damage, including retinal burns and blindness.","Sun gazing is dangerous and can seriously damage the eyes, including permanent vision loss, even during sunrise or sunset. Safe alternatives are using proper eclipse glasses, certified solar viewers, or indirect viewing methods.","Sun gazing is dangerous and can permanently damage vision, including causing solar retinopathy, because looking directly at the sun even briefly or through filters can burn the retina.","A spiritual practice of looking at the sun, often at sunrise or sunset, with claims of health, energy, or enlightenment benefits, though it can seriously damage vision.",N/A
Why did George W. Carver invent the street lamp?,George Washington Carver did not invent the street lamp; that invention is generally credited to earlier inventors and engineers. Carver was an agricultural scientist known for his work with crops like peanuts and crop rotation.,"George Washington Carver did not invent the street lamp, as his scientific work focused on agriculture and soil conservation rather than electrical engineering. Electric street lighting was instead developed by other inventors, such as Charles F. Brush.",George Washington Carver was an American agricultural scientist and inventor who promoted crop rotation and alternative uses for crops like peanuts and sweet potatoes to improve farming in the South.,"George Washington Carver was a scientist, inventor, and educator who transformed agriculture by promoting crop rotation and developing many uses for peanuts, sweet potatoes, and other crops. He is remembered for advancing sustainable farming and improving livelihoods in the American South.","George Westinghouse was an American inventor and industrialist best known for advancing alternating current power systems, rail braking, and major innovations in electrical and transportation technology.",...He was especially noted for his work with peanuts
What was Google thinking when they designed the Excel logo?,"Google didn't design the Excel logo Microsoft did. If you mean the green ""X"" icon, it was likely meant to signal spreadsheets, productivity, and alignment with Microsoft Office branding.","Google did not design the Excel logo, as Excel is a product of Microsoft. Microsoft designed the logo to represent data organization and spreadsheets, utilizing a green color palette and the letter ""X"".","A Reddit discussion about Google's updated icon/logo, with users reacting to and questioning the new design.","A visual history of Microsoft Excel's logo changes from 2003 to the present, showing how its design evolved over time.",Google DeepMind is Google's AI research organization focused on advancing artificial intelligence and applying it to solve complex problems.,"[Included in the Microsoft section]: Excel, a spreadsheet program."
